,word,score,stem
1663,convirtiéndose,0.5,convirt
1664,insinuar,0.25,insinu
1665,congraciarse,0.25,congraci
1666,eufemístico,-0.625,eufemist
1667,disfuncional,-0.75,disfuncional
1668,euforizante,-0.375,euforiz
1669,disfórico,-0.75,disfor
1670,justificado,0.125,justific
1671,ondulante,-0.125,ondul
1672,grumoso,-0.625,grumos
1673,pebble,-0.625,pebbl
1674,ragged,-0.25,ragg
1675,incomparable,-0.875,incompar
1676,par,0.375,par
1677,desigual,0.125,desigual
1678,matemáticas,0.375,matemat
1679,fotográfico,0.375,fotograf
1680,riguroso,0.125,rigur
1681,inexacto,-0.125,inexact
1682,aproximado,-0.5,aproxim
1683,convertible,0.5,convert
1684,incambiable,-0.5,incambi
1685,inconvertible,-0.5,inconvert
1686,conmutable,0.5,conmut
1687,fungible,0.5,fungibl
1688,transponible,0.375,transpon
1689,permutable,0.375,permut
1690,intransferible,-0.5,intransfer
1691,inconmutable,-0.625,inconmut
1692,asustadizo,-0.375,asustadiz
1693,voluble,-0.375,volubl
1694,inexcitable,0.25,inexcit
1695,agog,0.625,agog
1696,sobreexcitada,-0.25,sobreexcit
1697,burlado,-0.375,burl
1698,galvanización,-0.375,galvaniz
1699,galvánica,-0.375,galvan
1700,eléctrica,-0.375,electr
1701,electrizante,-0.25,electriz
1702,glamoroso,0.375,glamor
1703,cosquilleo,0.375,cosquille
1704,hormigueo,0.375,hormigue
1705,cosquillas,0.375,cosquill
1706,rutinario,-0.125,rutinari
1707,exculpatorio,0.25,exculpatori
1708,exonerando,0.25,exoner
1709,absolviendo,0.25,absolv
1710,atenuante,0.25,atenu
1711,vindicatorio,0.25,vindicatori
1712,justificatorio,0.25,justificatori
1713,justificativo,0.25,justific
1714,inculpatoria,-0.5,inculpatori
1715,inculpadora,-0.5,inculp
1716,acusador,-0.5,acus
1717,condenando,-0.75,conden
1718,incriminatoria,0.125,incriminatori
1719,agotable,0.625,agot
1720,renovable,0.625,renov
1721,impar,-0.375,impar
1722,inexistente,-0.75,inexistent
1723,desaparecido,-0.625,desaparec
1724,faltante,-0.625,faltant
1725,desprovisto,-0.25,desprovist
1726,noextante,-0.75,noextant
1727,existente,-0.625,existent
1728,vivir,0.125,viv
1729,extinto,-0.5,extint
1730,esperado,0.25,esper
1731,anticipado,0.25,anticip
1732,esperable,-0.125,esper
1733,matter,0.25,matt
1734,inesperado,-0.25,inesper
1735,expeditivo,-0.375,expedit
1736,ventajoso,0.375,ventaj
1737,oportunista,0.125,oportun
1738,desaconsejable,-0.5,desaconsej
1739,prescindible,0.75,prescind
1740,consumible,0.125,consum
1741,sacrificable,-0.25,sacrific
1742,caro,0.5,car
1743,costoso,0.5,costos
1744,sobrevalorado,0.125,sobrevalor
1745,tarifa,-0.125,tarif
1746,precio,-0.125,preci
1747,catchpenny,-0.5,catchpenny
1748,nickel,-0.5,nickel
1749,seis,-0.125,seis
1750,veterano,0.5,veteran
1751,ingenuos,-0.25,ingenu
1752,inválido,-0.5,inval
1753,interpretable,0.625,interpret
1754,explicable,0.625,explic
1755,incomprensible,-0.375,incomprens
1756,inescrutable,0.125,inescrut
1757,críptico,0.125,criptic
1758,paradójico,0.125,paradoj
1759,inexplicado,0.25,inexplic
1760,expresada,0.5,expres
1761,explícita,0.5,explicit
1762,declarado,0.5,declar
1763,inequívoco,0.25,inequivoc
1764,inexplícito,0.375,inexplicit
1765,subyacente,0.0,subyacent
1766,inherente,0.0,inherent
1767,implícito,0.0,implicit
1768,tácito,0.5,tacit
1769,expresable,0.625,expres
1770,descriptible,0.5,descript
1771,representable,0.125,represent
1772,pronunciable,0.5,pronunci
1773,hablable,0.5,hablabl
1774,protrusivo,0.375,protrus
1775,protrusible,0.375,protrus
1776,inextensible,-0.125,inextens
1777,extrictamente,0.75,extrict
1778,inextricable,-0.625,inextric
1779,digita,-0.125,digit
1780,distensible,0.5,distens
1781,inextinguible,-0.875,inextingu
1782,privado,0.125,priv
1783,interior,0.375,interior
1784,eyed,-0.125,eyed
1785,tuerto,0.5,tuert
1786,popeyed,0.125,popey
1787,ojo,0.375,ojo
1788,jugable,0.625,jugabl
1789,deportista,0.375,deport
1790,fair,0.125,fair
1791,antideportivo,0.0,antideport
1792,equitativo,0.5,equit
1793,apóstata,-0.625,apostat
1794,pérfido,-0.375,perf
1795,fiel,0.375,fiel
1796,doblemente,-0.75,doblement
1797,tramposo,-0.75,trampos
1798,hardcore,0.5,hardcor
1799,señor,-0.125,señor
1800,infiel,0.375,infiel
1801,amotinado,-0.5,amotin
1802,falible,-0.25,falibl
1803,errante,0.375,errant
1804,infalible,-0.75,infal
1805,inerrante,-0.75,inerr
1806,inerrable,-0.75,inerr
1807,golpeado,-0.25,golp
1808,largamente,-0.125,larg
1809,inusual,0.25,inusual
1810,grotesco,0.375,grotesc
1811,rummy,-0.25,rummy
1812,rum,-0.25,rum
1813,peculiar,-0.25,peculi
1814,curioso,-0.25,curios
1815,eery,-0.125,eery
1816,eerie,-0.125,eeri
1817,exótico,0.5,exot
1818,freaky,-0.25,freaky
1819,usual,0.125,usual
1820,abeto,0.25,abet
1821,apuesto,0.25,apuest
1822,faddy,0.125,faddy
1823,faddish,0.125,faddish
1824,fanfarronería,0.125,fanfarron
1825,actualizado,0.25,actualiz
1826,pintoresco,0.125,pintoresc
1827,viejos,0.125,viej
1828,swanky,0.5,swanky
1829,swank,0.5,swank
1830,trendy,0.5,trendy
1831,fechado,-0.375,fech
1832,voguish,0.5,voguish
1833,smart,0.5,smart
1834,chic,0.5,chic
1835,chichi,0.625,chichi
1836,dowdy,0.0,dowdy
1837,alacritous,0.5,alacritous
1838,express,0.0,express
1839,apurando,0.125,apur
1840,vivace,0.125,vivac
1841,adagio,-0.125,adagi
1842,andante,0.0,andant
1843,larghetto,0.25,larghett
1844,larghissimo,0.25,larghissim
1845,moderato,-0.375,moderat
1846,choosy,-0.5,choosy
1847,choosey,-0.5,choosey
1848,persnickety,0.125,persnickety
1849,pernickety,0.125,pernickety
1850,anciana,0.5,ancian
1851,solterona,0.5,solteron
1852,embotellado,0.125,embotell
1853,regordete,0.125,regordet
1854,zoftig,0.125,zoftig
1855,zaftig,0.125,zaftig
1856,buxom,0.125,buxom
1857,obeso,0.0,obes
1858,papada,-0.375,pap
1859,corpulento,0.125,corpulent
1860,anoréxico,-0.375,anorex
1861,anorexígeno,-0.375,anorexigen
1862,esquelético,0.25,esquelet
1863,cadavérico,0.25,cadaver
1864,óseo,0.25,ose
1865,larguirucho,0.25,larguiruch
1866,ganglio,0.25,gangli
1867,spindly,-0.125,spindly
1868,lank,-0.125,lank
1869,junco,0.25,junc
1870,una,0.0,una
1871,espantapájaros,0.25,espantapajar
1872,maleza,0.25,malez
1873,huesudo,0.25,huesud
1874,marchita,0.375,marchit
1875,recortar,0.25,recort
1876,zancas,0.5,zanc
1877,patas,0.5,pat
1878,enjuto,0.0,enjut
1879,wispy,0.25,wispy
1880,wisplike,0.25,wisplik
1881,gordito,0.125,gordit
1882,sebáceo,-0.25,sebace
1883,grasiento,-0.25,grasient
1884,suety,-0.5,suety
1885,terminal,-0.375,terminal
1886,curable,0.125,curabl
1887,incurable,0.5,incur
1888,sonora,0.5,sonor
1889,plomada,0.5,plom
1890,comprensible,0.5,comprens
1891,siguiendo,0.125,sigu
1892,plausible,0.5,plausibl
1893,aprobatorio,0.5,aprobatori
1894,reprobando,-0.625,reprob
1895,reprochando,-0.625,reproch
1896,amonestando,-0.625,amonest
1897,adverso,-0.375,advers
1898,desaprobación,-0.5,desaprob
1899,plumado,-0.125,plum
1900,plumoso,-0.5,plumos
1901,emplumado,-0.5,emplum
1902,velvety,0.25,velvety
1903,gratulatoria,0.25,gratulatori
1904,felicitación,0.25,felicit
1905,bienvenida,0.625,bienven
1906,inepto,-0.75,inept
1907,conceptual,0.5,conceptual
1908,fertilizable,0.625,fertiliz
1909,infértil,-0.625,infertil
1910,esterilizado,-0.25,esteriliz
1911,concluido,0.375,conclu
1912,incompleto,-0.125,incomplet
1913,unhewn,-0.75,unhewn
1914,delimitado,0.125,delimit
1915,extinguible,0.625,extingu
1916,limitada,-0.625,limit
1917,infinito,-0.375,infinit
1918,sempiternas,0.0,sempitern
1919,interminables,0.0,intermin
1920,inagotable,0.125,inagot
1921,prime,0.0,prim
1922,premier,0.0,premi
1923,puesta,0.125,puest
1924,subterminal,0.0,subterminal
1925,fisionable,0.5,fision
1926,condicionado,0.0,condicion
1927,apraxico,-0.5,aprax
1928,apractico,-0.5,apract
1929,parado,-0.5,par
1930,juego,-0.5,jueg
1931,lisiado,-0.5,lisi
1932,kifótica,-0.5,kifot
1933,jorobada,-0.5,jorob
1934,gibosa,-0.5,gibos
1935,torcida,-0.5,torc
1936,discapacitado,-0.75,discapacit
1937,gammy,-0.625,gammy
1938,flácida,-0.125,flac
1939,desovado,-0.25,desov
1940,lordótico,-0.5,lordot
1941,inmersión,-0.5,inmersion
1942,plana,-0.25,plan
1943,contraste,-0.125,contr
1944,plegable,0.375,plegabl
1945,spinnbar,0.625,spinnb
1946,spinnable,0.625,spinnabl
1947,semirrígido,-0.625,semirrig
1948,intransigente,-0.75,intransigent
1949,hard,0.25,hard
1950,acorazado,0.125,acoraz
1951,línea,0.125,line
1952,conciliador,0.125,concili
1953,comprometedor,0.125,comprometedor
1954,cediendo,0.375,ced
1955,ajustable,0.125,ajust
1956,pedatear,0.125,pedat
1957,apodous,-0.125,apodous
1958,apodal,-0.125,apodal
1959,toed,-0.125,toed
1960,splay,0.125,splay
1961,endogámico,-0.125,endogam
1962,adoptivo,0.5,adopt
1963,adoptado,0.5,adopt
1964,advenimiento,-0.75,adven
1965,nativo,0.125,nativ
1966,exterior,-0.125,exterior
1967,internacional,-0.125,internacional
1968,externo,-0.125,extern
1969,ama,0.125,ama
1970,maridaje,0.125,maridaj
1971,olvidable,0.5,olvid
1972,inmemorable,-0.5,inmemor
1973,inolvidable,-0.375,inolvid
1974,memorable,0.125,memor
1975,letra,0.25,letr
1976,perdonando,0.375,perdon
1977,ceremonial,0.125,ceremonial
1978,nominal,-0.125,nominal
1979,perfunctoria,-0.25,perfunctori
1980,semiformal,-0.375,semiformal
1981,corbata,0.0,corbat
1982,diario,0.5,diari
1983,folksy,-0.25,folksy
1984,slangy,0.25,slangy
1985,subliterario,-0.375,subliterari
1986,fortuito,0.5,fortuit
1987,enviado,0.75,envi
1988,suerte,0.75,suert
1989,calamitoso,-0.75,calamit
1990,desposeídos,-0.875,desposeid
1991,lastimoso,-0.75,lastim
1992,patético,-0.75,patet
1993,desventurado,-0.75,desventur
1994,desastroso,-0.625,desastr
1995,fragante,0.625,fragant
1996,redolente,0.25,redolent
1997,aromático,0.25,aromat
1998,perfumada,-0.5,perfum
1999,almizcle,-0.25,almizcl
2000,funky,-0.75,funky
2001,maloliente,-0.75,malolient
2002,fétido,-0.75,fet
2003,high,-0.125,high
2004,gamy,-0.125,gamy
2005,miasmático,-0.375,miasmat
2006,mefítico,-0.375,mefit
2007,niffy,-0.75,niffy
2008,oloroso,-0.125,olor
2009,odorífero,-0.125,odorifer
2010,putrid,-0.39999999999999997,putr
2011,apestando,-0.375,apest
2012,aliáceo,-0.375,aliace
2013,almond,-0.25,almond
2014,anise,-0.25,anis
2015,apple,-0.25,apple
2016,balsam,-0.25,balsam
2017,candy,-0.25,candy
2018,cinnamon,-0.25,cinnamon
2019,clove,-0.25,clov
2020,ginger,-0.25,ging
2021,honey,-0.25,honey
2022,lemon,-0.25,lemon
2023,almizclado,-0.25,almizcl
2024,perfumado,-0.125,perfum
2025,spice,-0.25,spic
2026,tansy,-0.25,tansy
2027,vanilla,-0.25,vanill
2028,violet,-0.25,violet
2029,inodoro,-0.25,inodor
2030,geosincrónica,-0.375,geosincron
2031,estacionario,-0.625,estacionari
2032,independiente,-0.625,independient
2033,flotante,-0.375,flotant
2034,escapado,-0.25,escap
2035,liberado,0.125,liber
2036,emancipado,0.125,emancip
2037,footloose,0.625,footloos
2038,out,-0.625,out
2039,infrecuente,-0.625,infrecuent
2040,llamador,0.125,llamador
2041,crisp,0.5,crisp
2042,day,-0.875,day
2043,gusano,-0.625,gusan
2044,volador,-0.625,volador
2045,enmohecido,-0.375,enmohec
2046,mohoso,-0.375,mohos
2047,liofilizado,0.25,liofiliz
2048,salífera,-0.375,salifer
2049,cordial,0.625,cordial
2050,parálisis,0.375,paralisis
2051,compañero,0.375,compañer
2052,amigo,0.375,amig
2053,granizo,0.375,graniz
2054,camaradería,0.375,camarad
2055,couthy,0.625,couthy
2056,couthie,0.625,couthi
2057,acogedor,0.125,acogedor
2058,vecino,0.625,vecin
2059,ceño,-0.625,ceñ
2060,amistoso,0.25,amist
2061,derretido,-0.125,derret
2062,licuado,-0.125,licu
2063,granizado,-0.125,graniz
2064,descongelado,-0.5,descongel
2065,fructífero,0.5,fructifer
2066,berried,0.25,berri
2067,bacciferous,0.25,bacciferous
2068,cría,0.125,cri
2069,fruta,0.375,frut
2070,reproductivo,0.25,reproduct
2071,procreativo,0.25,procreat
2072,generativo,0.25,gener
2073,frutos,0.375,frut
2074,round,0.375,round
2075,small,0.375,small
2076,abortivo,-0.25,abort
2077,acarpous,-0.375,acarpous
2078,rebosante,-0.25,reb
2079,tensa,-0.5,tens
2080,saturado,0.0,satur
2081,instinto,-0.5,instint
2082,relleno,-0.375,rellen
2083,vidrioso,-0.375,vidrios
2084,vacante,0.125,vacant
2085,trabajo,-0.5,trabaj
2086,subempleado,-0.25,subempl
2087,ornamental,0.375,ornamental
2088,decorativo,0.375,decor
2089,cosmético,0.375,cosmet
2090,trabajando,0.25,trabaj
2091,funcionando,0.25,funcion
2092,run,-0.625,run
2093,equipar,0.25,equip
2094,panoplado,0.125,panopl
2095,cascos,-0.375,casc
2096,visado,0.125,vis
2097,nombrado,0.375,nombr
2098,abastecido,-0.125,abastec
2099,financiado,-0.375,financi
2100,clean,-0.25,cle
2101,leña,-0.25,leñ
2102,self,-0.125,self
2103,especificado,0.375,especific
2104,mero,0.125,mer
2105,inespecífico,-0.125,inespecif
2106,pandemia,-0.125,pandemi
2107,circunstancial,0.125,circunstancial
2108,inespecífica,-0.125,inespecif
2109,unitario,0.25,unitari
2110,técnica,0.5,tecnic
2111,genérico,-0.25,gener
2112,patentado,-0.125,patent
2113,liberal,0.5,liberal
2114,guapo,0.5,guap
2115,dadivoso,0.5,dadiv
2116,chintzy,0.0,chintzy
2117,chinchy,0.0,chinchy
2118,cheap,0.0,cheap
2119,flaco,0.375,flac
2120,pellizcador,0.375,pellizc
2121,separador,0.375,separ
2122,tightfist,-0.25,tightfist
2123,hardfist,-0.25,hardfist
2124,closefist,-0.25,closefist
2125,escurridizo,0.25,escurridiz
2126,negrata,0.25,negrat
2127,rencoroso,0.25,rencor
2128,avaro,0.25,avar
2129,minúsculo,0.25,minuscul
2130,penoso,-0.75,penos
2131,parsimonioso,-0.75,parsimoni
2132,generoso,-0.5,gener
2133,genuine,-0.272,genuin
2134,echt,-0.272,echt
2135,bona,-0.19999999999999996,bon
2136,documentado,0.25,document
2137,autenticado,0.25,autentic
2138,atestiguado,0.25,atestigu
2139,falsificación,-0.11200000000000004,falsif
2140,falsificado,-0.75,falsific
2141,inauténtico,-0.5,inautent
2142,burla,-0.5,burl
2143,pinchbeck,-0.25,pinchbeck
2144,pseudo,-0.75,pseud
2145,talentoso,0.5,talent
2146,dotado,0.5,dot
2147,vidriado,0.0,vidri
2148,acristalado,0.0,acristal
2149,historiada,0.125,histori
2150,celebrada,0.125,celebr
2151,inspirado,0.875,inspir
2152,elíseo,0.875,elise
2153,empírica,0.625,empir
2154,incandescente,0.25,incandescent
2155,inglorious,-0.5,inglorious
2156,vamos,0.25,vam
2157,aplastante,0.875,aplast
2158,bofetada,0.875,bofet
2159,melocotón,0.875,melocoton
2160,pulcro,0.875,pulcr
2161,dandi,0.875,dandi
2162,chasquido,0.875,chasqu
2163,bravucón,0.875,bravucon
2164,flequillo,0.875,flequill
2165,suficientemente,0.875,suficient
2166,corcho,-0.625,corch
2167,apestoso,-0.75,apest
2168,cagado,-0.75,cag
2169,bonita,-0.875,bonit
2170,caucho,-0.5,cauch
2171,uncool,-0.875,uncool
2172,santa,0.625,sant
2173,beatífica,0.625,beatif
2174,angélica,0.625,angel
2175,goody,0.875,goody
2176,salvando,0.625,salv
2177,redimiendo,0.625,redim
2178,maldad,-0.875,mald
2179,flagrante,-0.875,flagrant
2180,siniestro,-0.75,siniestr
2181,pestiferous,-0.3340000000000001,pestiferous
2182,perversive,-0.3340000000000001,perversiv
2183,corruptive,-0.3340000000000001,corruptiv
2184,satánico,-0.75,satan
2185,mefistofélico,-0.625,mefistofel
2186,plácido,0.5,plac
2187,hepático,-0.75,hepat
2188,dispéptico,-0.75,dispept
2189,auricular,-0.75,auricul
2190,waspish,-0.5,waspish
2191,splenetic,-0.5,splenetic
2192,prickly,-0.5,prickly
2193,bristly,-0.5,bristly
2194,irascible,-0.375,irasc
2195,churlish,-0.875,churlish
2196,gruñón,-0.625,gruñon
2197,cruzado,-0.625,cruz
2198,petulante,-0.25,petul
2199,díscolo,-0.25,discol
2200,currish,-0.25,currish
2201,huraño,-0.375,hurañ
2202,saturnino,-0.375,saturnin
2203,resplandeciente,-0.375,resplandecient
2204,enfurruñado,-0.625,enfurruñ
2205,misógino,-0.5,misogin
2206,snorty,-0.625,snorty
2207,shirty,-0.625,shirty
2208,regañón,-0.625,regañon
2209,malcriado,-0.625,malcri
2210,hosco,-0.75,hosc
2211,vinagreta,-0.25,vinagret
2212,graciosa,0.375,gracios
2213,willowy,0.5,willowy
2214,gracile,0.5,gracil
2215,litológico,0.25,litolog
2216,elástico,0.25,elast
2217,lisible,0.25,lisibl
2218,lisante,0.25,lisant
2219,incómodo,0.375,incomod
2220,desgarbado,-0.125,desgarb
2221,tensas,-0.375,tens
2222,trabajadas,-0.375,trabaj
2223,laboriosas,-0.375,labori
2224,madera,0.0,mader
2225,rústico,-0.5,rustic
2226,comienzo,-0.5,comienz
2227,brusco,0.0,brusc
2228,entrecortado,-0.25,entrecort
2229,explosivo,-0.25,explos
2230,fulminante,-0.75,fulmin
2231,acero,-0.25,acer
2232,paulatino,-0.5,paulatin
2233,rampa,0.375,ramp
2234,perpendicular,0.0,perpendicul
2235,gramatical,0.5,gramatical
2236,agramatical,-0.75,agramatical
2237,directorio,-0.75,directori
2238,apreciativo,-0.5,apreci
2239,triploide,0.25,triploid
2240,dichoso,-0.125,dichos
2241,riendo,0.0,riend
2242,sufriente,-0.875,sufrient
2243,adamantino,0.0,adamantin
2244,erecto,-0.25,erect
2245,pétreo,-0.25,petre
2246,semiduro,-0.375,semidur
2247,comprimible,0.625,comprim
2248,fláccido,-0.125,flacc
2249,lanudo,-0.125,lanud
2250,lanoso,-0.125,lanos
2251,floculante,-0.125,flocul
2252,sobrecargado,-0.5,sobrecarg
2253,blandito,0.125,blandit
2254,esponjoso,0.125,esponj
2255,astuto,0.25,astut
2256,calculador,0.25,calcul
2257,cementado,0.0,cement
2258,acerado,-0.375,acer
2259,granítico,0.125,granit
2260,pedernal,0.125,pedernal
2261,hervido,-0.875,herv
2262,intoxicante,-0.5,intox
2263,espirituoso,0.375,espiritu
2264,indem,-0.375,indem
2265,nocivo,-0.625,nociv
2266,raciocinio,-0.875,raciocini
2267,amoratamiento,-0.625,amorat
2268,dañino,-0.25,dañin
2269,denigratorio,-0.875,denigratori
2270,denigrante,-0.875,denigr
2271,difamatorio,-0.875,difamatori
2272,calumniador,-0.875,calumni
2273,ruinoso,-0.75,ruinos
2274,catastrófico,-0.75,catastrof
2275,contraproducentes,-0.375,contraproducent
2276,perjudicial,-0.75,perjudicial
2277,nocente,-0.5,nocent
2278,hiriendo,-0.75,hir
2279,apuñalando,-0.75,apuñal
2280,armonizado,0.125,armoniz
2281,armónico,0.125,armon
2282,sinfónico,0.25,sinfon
2283,inarmonioso,-0.75,inarmoni
2284,inarmónico,0.0,inarmon
2285,discordante,0.0,discord
2286,disonante,-0.375,dison
2287,salud,0.75,salud
2288,parasiticida,0.75,parasitic
2289,helmíntico,0.75,helmint
2290,antihelmíntico,0.75,antihelmint
2291,antimicrobiano,0.625,antimicrobian
2292,antideflagrante,0.625,antideflagr
2293,carminativo,0.625,carmin
2294,psicoterapéutico,0.375,psicoterapeut
2295,catártico,0.375,catart
2296,terapéutico,0.875,terapeut
2297,sanativo,0.875,sanat
2298,curativo,0.875,curat
2299,reparador,0.5,repar
2300,recuperador,0.5,recuper
2301,paralizante,-0.5,paraliz
2302,citopatógeno,-0.5,citopatogen
2303,patógeno,0.25,patogen
2304,elegibles,0.125,eleg
2305,quirúrgico,0.125,quirurg
2306,pirético,-0.5,piret
2307,antipirético,0.5,antipiret
2308,sonrosadas,0.875,sonr
2309,mejillas,0.875,mejill
2310,sonrojadas,0.875,sonroj
2311,rebote,0.75,rebot
2312,lujuriosa,0.625,lujuri
2313,sanguíneo,0.5,sanguine
2314,rubicundo,0.5,rubicund
2315,ໃຈຮ,-0.875,ໃຈຮ
2316,reumatoide,-0.125,reumatoid
2317,reumático,-0.125,reumat
2318,artrítico,-0.125,artrit
2319,ampolla,-0.375,ampoll
2320,blebby,-0.375,blebby
2321,tumido,-0.625,tum
2322,tumescente,-0.625,tumescent
2323,intumescente,-0.625,intumescent
2324,inyectado,-0.75,inyect
2325,ulceroso,-0.625,ulcer
2326,ulcerado,-0.625,ulcer
2327,cancro,-0.625,cancr
2328,carbuncular,-0.75,carbuncul
2329,carbunclado,-0.75,carbuncl
2330,cariado,-0.5,cari
2331,caseoso,-0.75,caseos
2332,eritema,-0.5,eritem
2333,gases,-0.625,gas
2334,flatulentos,-0.625,flatulent
2335,cólicos,-0.625,colic
2336,citomegálico,-0.375,citomegal
2337,deshidratados,-0.125,deshidrat
2338,edematoso,-0.75,edemat
2339,hidrópico,-0.75,hidrop
2340,mortificado,-0.5,mortific
2341,gangrenoso,-0.5,gangren
2342,inflamatorios,-0.75,inflamatori
2343,encarnado,-0.25,encarn
2344,ictérico,-0.625,icter
2345,membranoso,-0.375,membran
2346,formador,-0.375,formador
2347,proinflamatorio,-0.625,proinflamatori
2348,cetrino,-0.875,cetrin
2349,varicoso,-0.875,varic
2350,flema,0.125,flem
2351,ambrosiano,0.375,ambrosian
2352,ambrosial,0.375,ambrosial
2353,etéreo,0.5,etere
2354,celestial,0.5,celestial
2355,paradisíaco,0.25,paradisiac
2356,providencial,0.125,providencial
2357,translunar,0.375,translun
2358,superlunar,0.375,superlun
2359,terreno,-0.5,terren
2360,digerible,0.375,diger
2361,digestible,0.375,digest
2362,predigerido,-0.125,prediger
2363,inasimilable,-0.625,inasimil
2364,flatulencia,-0.5,flatulent
2365,policefalia,0.125,policefali
2366,acéfala,0.125,acefal
2367,descabezado,-0.125,descabez
2368,pastoso,-0.625,pastos
2369,ingrávido,0.0,ingrav
2370,vehículos,-0.75,vehicul
2371,denso,-0.25,dens
2372,fiscal,-0.25,fiscal
2373,oneroso,-0.25,oner
2374,preocupante,-0.875,preocup
2375,angustioso,-0.875,angusti
2376,ponderado,0.125,ponder
2377,plomizo,0.125,plomiz
2378,opresivo,0.25,opres
2379,pies,-0.25,pies
2380,independientemente,-0.625,independient
2381,sancionador,0.125,sancion
2382,descalificante,-0.125,descalif
2383,incapacitante,-0.125,incapacit
2384,útil,0.25,util
2385,complaciente,0.5,complacient
2386,asistencial,0.5,asistencial
2387,rostro,0.5,rostr
2388,facilitador,0.125,facilit
2389,instrumental,0.125,instrumental
2390,implementador,0.125,implement
2391,reformatorio,-0.375,reformatori
2392,estabilizador,-0.375,estabiliz
2393,estabilizando,-0.375,estabiliz
2394,heterodáctilo,0.375,heterodactil
2395,heterogéneo,-0.625,heterogene
2396,abigarrados,-0.125,abigarr
2397,mixtos,-0.125,mixt
2398,surtidos,-0.125,surt
2399,homogéneo,0.375,homogene
2400,homogeneizado,0.125,homogeneiz
2401,heterocigótico,-0.25,heterocigot
2402,queer,0.25,que
2403,homófilo,0.25,homofil
2404,homoerotismo,0.375,homoerot
2405,sáfica,0.125,safic
2406,lesbiana,0.125,lesbian
2407,travesti,0.375,travesti
2408,tribadista,0.375,tribad
2409,estratificado,0.375,estratific
2410,calificable,0.375,calific
2411,altitudinoso,0.5,altitudin
2412,dominando,-0.125,domin
2413,colgado,-0.125,colg
2414,descendido,-0.125,descend
2415,escotado,-0.25,escot
2416,escote,-0.25,escot
2417,devaluado,-0.125,devalu
2418,reducido,-0.25,reduc
2419,altissimo,0.5,altissim
2420,falsete,0.25,falset
2421,sopranino,0.125,sopranin
2422,barítono,-0.125,bariton
2423,bajos,-0.25,baj
2424,gutural,-0.625,gutural
2425,imitativo,-0.375,imit
2426,apish,-0.5,apish
2427,imitador,-0.125,imit
2428,tierras,0.125,tierr
2429,subalpino,0.5,subalpin
2430,alpestrino,0.5,alpestrin
2431,homólogo,0.125,homolog
2432,homológico,1.0,homolog
2433,heterólogo,-0.625,heterolog
2434,heterológico,-0.625,heterolog
2435,articulación,-0.125,articul
2436,deshonesto,-0.875,deshonest
2437,duplicidad,-0.5,duplic
2438,fraudulento,-0.625,fraudulent
2439,novela,-0.375,novel
2440,sinvergüenza,-0.25,sinvergüenz
2441,ladrón,-0.25,ladron
2442,verdad,0.0,verd
2443,venerable,0.5,vener
2444,agosto,0.5,agost
2445,laureado,0.75,laur
2446,consagrado,0.5,consagr
2447,ignominioso,-0.375,ignomini
2448,somos,0.25,som
2449,expectante,0.625,expect
2450,anticipativa,0.625,anticip
2451,anticipada,0.625,anticip
2452,abyecto,0.0,abyect
2453,abatido,-0.75,abat
2454,yodante,-0.5,yodant
2455,consolable,0.125,consol
2456,inconsolable,-0.75,inconsol
2457,semierecta,0.125,semierect
2458,levantarse,0.125,levant
2459,yacente,-0.125,yacent
2460,decumbente,-0.125,decumbent
2461,accumbente,-0.125,accumbent
2462,acogedora,-0.125,acogedor
2463,inhóspito,-0.375,inhospit
2464,antagónico,-0.5,antagon
2465,frontal,-0.375,frontal
2466,ill,-0.125,ill
2467,oponente,0.0,oponent
2468,amigable,0.875,amig
2469,favorable,0.375,favor
2470,ígneo,-0.25,igne
2471,calentable,0.625,calent
2472,het,0.125,het
2473,hottish,-0.125,hottish
2474,acalorado,0.0,acalor
2475,sofocante,-0.625,sofoc
2476,trópico,-0.5,tropic
2477,gélido,-0.75,gel
2478,ártico,-0.75,artic
2479,parky,-0.125,parky
2480,nippy,0.0,nippy
2481,pellizcando,0.0,pellizc
2482,frigorífico,-0.5,frigorif
2483,frore,-0.25,fror
2484,rimy,-0.375,rimy
2485,bordeado,-0.375,bord
2486,refrigerante,-0.25,refriger
2487,destemplado,-0.125,destempl
2488,piedra,-0.25,piedr
2489,estival,0.125,estival
2490,festival,0.125,festival
2491,floración,0.375,floracion
2492,chisporroteando,0.25,chisporrot
2493,invernal,-0.875,invernal
2494,glacial,-0.875,glacial
2495,helado,-0.875,hel
2496,humano,0.125,human
2497,antropomorfo,0.125,antropomorf
2498,antropomórfico,0.125,antropomorf
2499,hominal,0.125,hominal
2500,homínido,0.25,homin
2501,hominiano,0.25,hominian
2502,simiesco,0.0,simiesc
2503,antropoide,0.0,antropoid
2504,deshumanizado,0.0,deshumaniz
2505,sobrehumano,0.125,sobrehuman
2506,divino,0.125,divin
2507,hercúleo,0.5,hercule
2508,infrahumano,-0.625,infrahuman
2509,humanidad,-0.25,human
2510,pisoteado,-0.625,pisot
2511,caído,-0.625,caid
2512,caníbal,-0.5,canibal
2513,inhumano,-0.625,inhuman
2514,chistoso,0.0,chistos
2515,bromista,0.625,bromist
2516,payaso,0.25,payas
2517,bufón,0.25,bufon
2518,risible,0.5,risibl
2519,cómico,0.5,comic
2520,irónico,0.0,iron
