,SynsetTerms
6698,"unforethoughtful,"
6699,"provocative,"
6700,"provoking, agitative, agitating,"
6701,"intriguing, challenging,"
6702,"charged,"
6703,"seditious, rabble-rousing, instigative, inflammatory, incitive, incendiary,"
6704,"unprovoking, unprovocative,"
6705,"disarming,"
6706,"noninflammatory,"
6707,"prudent,"
6708,"discreet, circumspect,"
6709,"wise, judicious, heady,"
6710,"provident,"
6711,"prudential,"
6712,"imprudent,"
6713,"shortsighted, improvident, ill-judged, ill-considered,"
6714,"injudicious,"
6715,"rash,"
6716,"tardy, late, belated,"
6717,"nighted, benighted,"
6718,"punished,"
6719,"tarred-and-feathered,"
6720,"unpunished,"
6721,"undisciplined, uncorrected,"
6722,"punitory, punitive,"
6723,"correctional,"
6724,"vindicatory, retributory, retributive, retaliatory, relatiative,"
6725,"rehabilitative,"
6726,"full-blooded, full-blood, blooded,"
6727,"bigeneric,"
6728,"underbred,"
6729,"pure,"
6730,"undefiled, immaculate,"
6731,"white,"
6732,"impure,"
6733,"maculate, defiled,"
6734,"pure,"
6735,"axenic,"
6736,"fresh, clean,"
6737,"unclouded, light, clear, clean,"
6738,"fine,"
6739,"unmixed, unmingled, sheer, plain,"
6740,"pristine,"
6741,"sublimate,"
6742,"unadulterated,"
6743,"unalloyed,"
6744,"unpolluted, uncontaminated,"
6745,"virginal,"
6746,"impure,"
6747,"debased, adulterated, adulterate,"
6748,"alloyed,"
6749,"polluted, contaminated,"
6750,"muddy, muddied, dirty, dingy,"
6751,"unpurified,"
6752,"contaminated,"
6753,"mercury-contaminated,"
6754,"uncontaminated,"
6755,"purposeful,"
6756,"earnest, businesslike,"
6757,"purposeless,"
6758,"undirected, rudderless, planless, directionless, aimless, afloat, adrift,"
6759,"desultory,"
6760,"well-qualified,"
6761,"unqualified,"
6762,"quack,"
6763,"disciplined,"
6764,"drilled,"
6765,"untrained,"
6766,"primitive, naive,"
6767,"undisciplined,"
6768,"qualified,"
6769,"conditional,"
6770,"weasel-worded, hedged,"
6771,"modified, limited,"
6772,"unconditional, flat, categorical, categoric,"
6773,"clear, clean,"
6774,"cool,"
6775,"unlimited, straight-out, outright,"
6776,"qualitative,"
6777,"duodecimal,"
6778,"quantifiable,"
6779,"valued,"
6780,"supposed, so-called, alleged,"
6781,"apocryphal,"
6782,"in question, dubitable, dubious, doubtful,"
6783,"equivocal,"
6784,"suspicious, suspect, shady, funny, fishy,"
6785,"unquestionable,"
6786,"acknowledged,"
6787,"indubitable, beyond doubt,"
6788,"for sure,"
6789,"unimpeachable,"
6790,"quiet,"
6791,"noiseless,"
6792,"still, soundless, silent,"
6793,"stilly,"
6794,"noisy,"
6795,"vociferous, strident, clamorous, clamant, blatant,"
6796,"uproarious, rip-roaring, rackety,"
6797,"swishy,"
6798,"thundering,"
6799,"restful, reposeful, relaxing,"
6800,"slumbrous, slumberous,"
6801,"uneasy, restless,"
6802,"quiet,"
6803,"quiescent,"
6804,"untroubled,"
6805,"unquiet,"
6806,"turbulent, tumultuous, troubled, riotous, disruptive,"
6807,"squally, squalling,"
6808,"random,"
6809,"hit-or-miss, haphazard,"
6810,"nonrandom,"
6811,"purposive,"
6812,"rational,"
6813,"lucid, logical, coherent,"
6814,"thinking, reasoning, intelligent,"
6815,"sane, reasonable,"
6816,"irrational,"
6817,"unreasoning, blind,"
6818,"reasonless,"
6819,"nonrational,"
6820,"superstitious,"
6821,"emotional,"
6822,"intellectual, cerebral,"
6823,"multiracial,"
6824,"racist,"
6825,"oxidizable,"
6826,"unstable,"
6827,"inactive,"
6828,"neutral, inert, indifferent,"
6829,"noble,"
6830,"stable,"
6831,"at the ready,"
6832,"set, primed, fit,"
6833,"prompt,"
6834,"ripe,"
6835,"waiting, ready and waiting,"
6836,"unready,"
6837,"flat-footed,"
6838,"off your guard, off one's guard, off his guard, off her guard, off guard, off-guard, napping,"
6839,"unripe,"
6840,"actual,"
6841,"factual, actual,"
6842,"objective, documentary,"
6843,"unreal,"
6844,"dreamed,"
6845,"visualized, visualised, pictured, envisioned,"
6846,"trompe-l'oeil, eye-deceiving,"
6847,"legendary, fabled,"
6848,"mythological, mythologic, mythical, mythic, fabulous,"
6849,"notional, imaginary, fanciful,"
6850,"fantastical, fantastic,"
6851,"hallucinatory,"
6852,"illusionary, illusional,"
6853,"illusory, illusive,"
6854,"pretend, make-believe,"
6855,"real,"
6856,"proper,"
6857,"unreal,"
6858,"delusory, deceptive,"
6859,"surreal, dreamlike,"
6860,"phantom,"
6861,"realistic,"
6862,"earthy, down-to-earth,"
6863,"vivid, pictorial, lifelike, graphic,"
6864,"living,"
6865,"veridical, real,"
6866,"virtual, practical,"
6867,"unrealistic,"
6868,"chimerical,"
6869,"false, delusive,"
6870,"wild, fantastic,"
6871,"kafkaesque,"
6872,"surrealistic, surreal, phantasmagorical, phantasmagoric,"
6873,"sensible, reasonable,"
6874,"commonsensical, commonsensible, commonsense,"
6875,"sound, levelheaded, level-headed, intelligent, healthy,"
6876,"unreasonable,"
6877,"counterintuitive,"
6878,"untenable, indefensible,"
6879,"senseless, reasonless, mindless,"
6880,"unwarranted, unjustified, undue,"
6881,"bilateral,"
6882,"trilateral,"
6883,"correlative,"
6884,"interactive, interactional,"
6885,"nonreciprocal,"
6886,"nonreciprocating,"
6887,"unrequited, unreciprocated, unanswered,"
6888,"refined,"
6889,"polite, genteel, cultured, cultivated, civilized, civilised,"
6890,"couth,"
6891,"twee, prim, niminy-piminy, mincing, dainty,"
6892,"suave, debonnaire, debonaire, debonair,"
6893,"finespun, delicate,"
6894,"gentlemanly, gentlemanlike,"
6895,"ladylike,"
6896,"superfine, overrefined,"
6897,"well-mannered, well-bred,"
6898,"unrefined,"
6899,"agrestic,"
6900,"uncultured, uncultivated, artless,"
6901,"swinish, oafish, neanderthal, neandertal, loutish, boorish,"
6902,"vulgar, uncouth, rough-cut, common, coarse,"
6903,"crass,"
6904,"yokelish, underbred, rude, lowbred, ill-bred, bounderish,"
6905,"low,"
6906,"robust,"
6907,"rough,"
6908,"rough-spoken,"
6909,"ungentlemanly, ungentlemanlike,"
6910,"unladylike,"
6911,"vulcanized, vulcanised, cured,"
6912,"semi-processed,"
6913,"unprocessed,"
6914,"unvulcanized, unvulcanised,"
6915,"refined, processed,"
6916,"unrefined, unprocessed, crude,"
6917,"activated,"
6918,"doped,"
6919,"proofed,"
6920,"untreated,"
6921,"raw,"
6922,"oiled,"
6923,"unoiled,"
6924,"treated,"
6925,"bound, bandaged,"
6926,"dosed,"
6927,"untreated,"
6928,"recoverable,"
6929,"retrievable,"
6930,"unrecoverable, irrecoverable,"
6931,"unretrievable, irretrievable,"
6932,"lost,"
6933,"regenerate,"
6934,"reborn, converted, born-again,"
6935,"reformed,"
6936,"unregenerated, unregenerate,"
6937,"unrepentant, obstinate, obdurate, cussed,"
6938,"impenitent,"
6939,"unpersuaded, unconverted,"
6940,"unregistered,"
6941,"unlisted,"
6942,"unregistered,"
6943,"prescribed, official,"
6944,"uniform,"
6945,"weak,"
6946,"well-ordered,"
6947,"irregular,"
6948,"crooked, asymmetrical,"
6949,"unlawful, unconventional, improper,"
6950,"strong,"
6951,"unregulated,"
6952,"irremediable,"
6953,"unrenewable, nonrenewable,"
6954,"rentable,"
6955,"unrentable,"
6956,"reparable, rectifiable,"
6957,"maintainable,"
6958,"irreparable,"
6959,"unrepeatable, unquotable,"
6960,"repetitive, repetitious,"
6961,"reiterative, iterative,"
6962,"nonrepetitive,"
6963,"printable,"
6964,"unprintable,"
6965,"unrequested,"
6966,"unsolicited, unasked,"
6967,"unrimed, unrhymed, rimeless, rhymeless,"
6968,"unvarying, uniform,"
6969,"multiform,"
6970,"polymorphous, polymorphic,"
6971,"cyclic,"
6972,"triennial,"
6973,"noncyclic,"
6974,"nonoscillatory,"
6975,"standing,"
6976,"irregular,"
6977,"unrelated,"
6978,"unconnected,"
6979,"connate, cognate,"
6980,"unrelated,"
6981,"orthogonal,"
6982,"applicable,"
6983,"germane,"
6984,"pertinent,"
6985,"irrelevant,"
6986,"tangential, digressive,"
6987,"orthogonal, impertinent, immaterial, extraneous,"
6988,"unsuitable, inapplicable,"
6989,"moot,"
6990,"mindful, aware,"
6991,"heedful, careful,"
6992,"unmindful, mindless, forgetful,"
6993,"amnesic, amnesiac,"
6994,"replaceable,"
6995,"standardized, standardised, similar, interchangeable, exchangeable,"
6996,"unreplaceable, irreplaceable,"
6997,"depictive, delineative,"
6998,"mimetic,"
6999,"realistic, naturalistic,"
7000,"geometrical, geometric,"
7001,"hieratic,"
7002,"semiabstract,"
7003,"unsymbolic, nonrepresentative,"
7004,"reputable,"
7005,"prestigious, honored, esteemed,"
7006,"respectable, honorable, good, estimable,"
7007,"redoubtable,"
7008,"well-thought-of, respected,"
7009,"disreputable,"
7010,"discreditable,"
7011,"discredited, damaged,"
7012,"notorious, infamous, ill-famed,"
7013,"shady, louche,"
7014,"squalid, sordid, sleazy, seedy, seamy,"
7015,"receptive, open,"
7016,"acceptive, acceptant,"
7017,"admissive,"
7018,"assimilative,"
7019,"hospitable,"
7020,"unreceptive,"
7021,"unsympathetic, closed,"
7022,"reconcilable,"
7023,"harmonizable,"
7024,"resolvable,"
7025,"unreconcilable, irreconcilable,"
7026,"hostile,"
7027,"inconsistent,"
7028,"reserved,"
7029,"upstage, distant, aloof,"
7030,"diffident,"
7031,"withdrawn, indrawn,"
7032,"unreserved,"
7033,"unreserved,"
7034,"rush, first-come-first-serve,"
7035,"unbooked,"
7036,"resistible,"
7037,"resistless, irresistible,"
7038,"overwhelming, overpowering,"
7039,"resolute,"
7040,"determined,"
7041,"do-or-die, desperate,"
7042,"unwavering, unshakable, unfaltering, unbendable, stiff, steady, steadfast, firm,"
7043,"foursquare,"
7044,"hell-bent,"
7045,"spartan,"
7046,"stout, stalwart,"
7047,"unshaken, undismayed, undaunted,"
7048,"undiscouraged, undeterred,"
7049,"discouraged,"
7050,"infirm,"
7051,"unstable,"
7052,"wavering, vacillating, vacillant,"
7053,"weak-kneed,"
7054,"respectable,"
7055,"nice, decent,"
7056,"presentable,"
7057,"unrespectable,"
7058,"respectful,"
7059,"regardful, deferential, deferent,"
7060,"honorific,"
7061,"disrespectful,"
7062,"scornful, insulting, disdainful, contemptuous,"
7063,"contumelious,"
7064,"taunting, mocking, jeering, gibelike, derisive,"
7065,"undutiful, impious,"
7066,"snotty-nosed, insolent, impudent, flip,"
7067,"undeferential,"
7068,"responsible,"
7069,"answerable,"
7070,"amenable,"
7071,"liable,"
7072,"irresponsible,"
7073,"slaphappy, harum-scarum, happy-go-lucky, freewheeling, devil-may-care, carefree,"
7074,"do-nothing,"
7075,"feckless,"
7076,"loose, idle,"
7077,"trigger-happy,"
7078,"unaccountable,"
7079,"unreliable,"
7080,"responsive,"
7081,"respondent, answering,"
7082,"unresponsive,"
7083,"refractory,"
7084,"close,"
7085,"subdued, low-keyed, low-key,"
7086,"unexpansive,"
7087,"unrestrained,"
7088,"overweening, exuberant, extravagant, excessive,"
7089,"freewheeling,"
7090,"highflying,"
7091,"ungoverned, uncurbed, unchecked, unbridled,"
7092,"unlaced, unbuttoned,"
7093,"unhindered, unhampered,"
7094,"restricted,"
7095,"limited, circumscribed,"
7096,"closed,"
7097,"unrestricted,"
7098,"all-weather,"
7099,"discretionary,"
7100,"open,"
7101,"open-ended,"
7102,"sumptuary,"
7103,"suppressive,"
7104,"unrestrictive,"
7105,"emancipative,"
7106,"nonrestrictive,"
7107,"tenacious, retentive, recollective, long,"
7108,"unretentive, short, forgetful,"
7109,"crisscrossed, crisscross,"
7110,"weblike, webby, webbed, netted, netlike, lacy,"
7111,"meshed,"
7112,"nonreticulate,"
7113,"retractile,"
7114,"retractable,"
7115,"nonretractile, nonretractable,"
7116,"reflective,"
7117,"specular, mirrorlike,"
7118,"reflecting,"
7119,"nonreflective, nonreflecting,"
7120,"echoless,"
7121,"unreflected,"
7122,"brilliant, bright,"
7123,"live,"
7124,"reverberative, reverberating, resounding, resonating, resonant,"
7125,"vibrant,"
7126,"unreverberant, nonresonant,"
7127,"anechoic,"
7128,"dead,"
7129,"thudding, dull,"
7130,"reverent,"
7131,"worshipful, adoring,"
7132,"awful, awed,"
7133,"venerating, reverential, respectful,"
7134,"irreverent,"
7135,"sacrilegious, profane, blasphemous,"
7136,"disrespectful, awless, aweless,"
7137,"revived,"
7138,"recrudescent,"
7139,"renewed,"
7140,"resurgent, renascent,"
7141,"resuscitated,"
7142,"revitalized, revitalised,"
7143,"unrevived, unrenewed,"
7144,"aroused,"
7145,"unawakened,"
7146,"awestruck, awestricken, awed,"
7147,"overawed,"
7148,"unawed,"
7149,"awless, aweless,"
7150,"counterrevolutionary,"
7151,"bountied,"
7152,"rewardful,"
7153,"unrewarding,"
7154,"ungratifying, unappreciated, thankless,"
7155,"profitless,"
7156,"rhetorical,"
7157,"turgid, tumid, orotund, large, declamatory, bombastic,"
7158,"ornate, flowery,"
7159,"purple, over-embellished, empurpled,"
7160,"forensic,"
7161,"tall, magniloquent, grandiloquent,"
7162,"oratorical,"
7163,"unrhetorical,"
7164,"prosaic, matter-of-fact,"
7165,"rhythmical, rhythmic,"
7166,"cadent, cadenced,"
7167,"danceable,"
7168,"jazzy,"
7169,"tripping, swingy, swinging, lilting,"
7170,"sapphic,"
7171,"singsong, intoned, chantlike,"
7172,"syncopated,"
7173,"throbbing,"
7174,"unrhythmical, unrhythmic,"
7175,"arrhythmical, arrhythmic,"
7176,"nonrhythmic,"
7177,"unmeasured,"
7178,"riblike,"
7179,"ribless,"
7180,"wealthy, moneyed, loaded, flush, affluent,"
7181,"well-to-do, well-situated, well-off, well-heeled, well-fixed, prosperous, easy, comfortable,"
7182,"stony-broke, stone-broke, skint, bust, broke,"
7183,"poverty-stricken, needy, necessitous, indigent, impoverished, destitute,"
7184,"pinched, penurious, penniless, in straitened circumstances, impecunious, hard up,"
7185,"moneyless,"
7186,"unprovided for,"
7187,"rich,"
7188,"poor,"
7189,"resourceless,"
7190,"rich,"
7191,"sumptuous, princely, opulent, luxurious, grand, gilded, deluxe,"
7192,"plushy, plush, lush, lucullan, lavish,"
7193,"poor,"
7194,"mean, beggarly,"
7195,"slummy,"
7196,"monied, moneyed,"
7197,"moneyless,"
7198,"solvent,"
7199,"insolvent,"
7200,"belly-up, bankrupt,"
7201,"lean,"
7202,"rimmed,"
7203,"red-rimmed,"
7204,"rimless,"
7205,"handless,"
7206,"two-handed, ambidextrous,"
7207,"equipoised,"
7208,"conservative,"
7209,"reactionist, reactionary, far-right,"
7210,"rightish,"
7211,"far left,"
7212,"leftish,"
7213,"middle-of-the-road, centrist,"
7214,"rightmost,"
7215,"antler-like,"
7216,"hollow-horned,"
7217,"horny,"
7218,"right,"
7219,"honourable, honorable, ethical,"
7220,"wrong,"
7221,"vicious, reprehensible, deplorable, criminal, condemnable,"
7222,"immoral, base,"
7223,"mistaken, misguided,"
7224,"righteous,"
7225,"upright, just, good,"
7226,"sound,"
7227,"unrighteous,"
7228,"wicked, unholy, sinful,"
7229,"robust,"
7230,"chesty, big-chested,"
7231,"square-shouldered, broad-shouldered, big-shouldered,"
7232,"iron, cast-iron,"
7233,"sturdy, stout, stalwart, hardy,"
7234,"half-hardy,"
7235,"heavy-armed,"
7236,"square-built,"
7237,"vigorous,"
7238,"frail,"
7239,"weakly, weak, sapless, rickety, infirm, feeble, decrepit, debile,"
7240,"round, circular,"
7241,"apple-shaped,"
7242,"spherical, spheric, orbicular, globular, globose, global, ball-shaped,"
7243,"barrel-shaped,"
7244,"capitate,"
7245,"coccoid,"
7246,"cumuliform,"
7247,"disklike, disk-shaped, discoidal, discoid, disclike, disc-shaped,"
7248,"moonlike, moon-round,"
7249,"nutlike,"
7250,"pancake-like,"
7251,"pear-shaped,"
7252,"pinwheel-shaped,"
7253,"ringlike,"
7254,"wheel-like,"
7255,"quadrate,"
7256,"squared,"
7257,"rounded,"
7258,"sausage-shaped, allantoid,"
7259,"amygdaloidal, amygdaloid, amygdaliform, almond-shaped,"
7260,"aspherical, aspheric,"
7261,"ear-shaped, ear-like, auriform,"
7262,"bean-shaped,"
7263,"semilunar, lunate, crescent-shaped, crescent,"
7264,"cycloidal, cycloid,"
7265,"disciform,"
7266,"vaulted, domed,"
7267,"dome-shaped,"
7268,"prolate, ovoid, oviform, ovate, oval-shaped, oval, elliptical, elliptic, egg-shaped,"
7269,"hyperboloidal,"
7270,"olivelike, olive-like,"
7271,"paraboloidal,"
7272,"plumlike,"
7273,"rodlike, rod-shaped,"
7274,"rotund,"
7275,"umbrellalike,"
7276,"angulate, angular,"
7277,"bicuspidate, bicuspid,"
7278,"cuspidated, cuspidate, cuspidal, cusped, cuspated, cuspate,"
7279,"rectangular,"
7280,"sharp-cornered, sharp-angled,"
7281,"three-cornered,"
7282,"triangular,"
7283,"tricuspidate, tricuspid,"
7284,"pumpkin-shaped, oblate,"
7285,"watermelon-shaped, prolate,"
7286,"pastoral, bucolic, arcadian,"
7287,"country-bred,"
7288,"hobnailed,"
7289,"city-like,"
7290,"rust-free,"
7291,"rustproofed, rustproof,"
7292,"rust-resistant,"
7293,"blessed, beatified,"
7294,"blessed,"
7295,"sacred, hallowed,"
7296,"unholy, unhallowed,"
7297,"unsanctified, unconsecrated, profane,"
7298,"unutterable, unspeakable, unnameable, ineffable,"
7299,"inspirational,"
7300,"sacrosanct, inviolate, inviolable,"
7301,"numinous,"
7302,"quasi-religious,"
7303,"sublime, reverend,"
7304,"secular, profane,"
7305,"secular, lay, laic,"
7306,"profanatory,"
7307,"sadistic,"
7308,"masochistic,"
7309,"safe,"
7310,"fail-safe,"
7311,"off the hook,"
7312,"unhazardous, riskless, risk-free,"
7313,"unhurt, safe and sound,"
7314,"unsafe, dangerous,"
7315,"dodgy, dicey, chancy, chanceful,"
7316,"desperate,"
7317,"wild, risky, hazardous,"
7318,"mordacious,"
7319,"on the hook,"
7320,"touch-and-go, precarious, perilous, parlous,"
7321,"suicidal, self-destructive,"
7322,"unreliable, treacherous,"
7323,"safe,"
7324,"out,"
7325,"saleable, salable,"
7326,"vendible, vendable, sellable, merchantable, marketable,"
7327,"unsaleable, unsalable,"
7328,"unmarketable,"
7329,"unvendible, unmerchantable, unmarketable,"
7330,"same,"
7331,"like, corresponding, comparable,"
7332,"duplicate,"
7333,"homophonic,"
7334,"indistinguishable, identical,"
7335,"one,"
7336,"different,"
7337,"antithetical, antithetic,"
7338,"various, assorted,"
7339,"contrary,"
7340,"contrastive, contrasting,"
7341,"polar, opposite, diametrical, diametric,"
7342,"divergent,"
7343,"disparate,"
7344,"distinguishable, distinct,"
7345,"various, diverse,"
7346,"diverse, divers,"
7347,"opposite,"
7348,"several,"
7349,"variant,"
7350,"very, selfsame, identical,"
7351,"other,"
7352,"some other, another,"
7353,"new,"
7354,"opposite,"
7355,"opposite,"
7356,"otherwise,"
7357,"similar,"
7358,"kindred, akin,"
7359,"correspondent, analogous,"
7360,"mistakable, confusable,"
7361,"connatural,"
7362,"quasi,"
7363,"sympathetic,"
7364,"dissimilar,"
7365,"sane,"
7366,"of sound mind, compos mentis,"
7367,"in their right minds, in his right mind, in her right mind,"
7368,"lucid,"
7369,"insane,"
7370,"possessed, demoniacal, demoniac, berserk, amuck, amok,"
7371,"whacky, wacky, round the bend, nutty, nuts, loopy, loony, loco, kooky, kookie, haywire, fruity, dotty, daft, crackers, cracked, buggy, bonkers, batty, bats, barmy, balmy, around the bend,"
7372,"unhinged, unbalanced, sick, mad, disturbed, demented, crazy, brainsick,"
7373,"certified, certifiable,"
7374,"idiotic, crackbrained,"
7375,"half-crazed, deranged, crazed,"
7376,"touched, fey,"
7377,"hebephrenic,"
7378,"moonstruck, lunatic,"
7379,"maniacal, maniac,"
7380,"manic-depressive,"
7381,"maniclike,"
7382,"unstable, unsound, mentally ill,"
7383,"of unsound mind, non compos mentis,"
7384,"paranoid,"
7385,"psychopathological, psychopathologic, psychopathic,"
7386,"psychotic,"
7387,"wild, raving mad,"
7388,"schizophrenic,"
7389,"screwy, screw-loose,"
7390,"satiated, satiate,"
7391,"jaded,"
7392,"satisfiable, satiable,"
7393,"unsatiable, insatiate, insatiable,"
7394,"unquenchable, quenchless,"
7395,"unsatisfied, unsatiated, unsated,"
7396,"unsatisfiable,"
7397,"sarcastic,"
7398,"pungent, nipping, mordacious, biting, barbed,"
7399,"mordant, grim, black,"
7400,"corrosive,"
7401,"sardonic,"
7402,"satirical, satiric,"
7403,"saturnine,"
7404,"unsarcastic,"
7405,"satisfactory,"
7406,"tolerable, passable, fair to middling, adequate,"
7407,"okay, ok, o.k., hunky-dory, fine, all right,"
7408,"alright,"
7409,"satisfying, comforting, cheering,"
7410,"copesettic, copesetic, copasetic, copacetic,"
7411,"right,"
7412,"unsatisfactory,"
7413,"unsatisfying, dissatisfactory, disappointing,"
7414,"failing,"
7415,"off,"
7416,"unacceptable,"
7417,"scalable,"
7418,"climbable, ascendible, ascendable,"
7419,"unscalable, unclimbable,"
7420,"scholarly,"
7421,"pedantic, donnish, academic,"
7422,"studious, bookish,"
7423,"learned, erudite,"
7424,"unscholarly,"
7425,"unlearned,"
7426,"unstudious,"
7427,"scientific,"
7428,"unscientific,"
7429,"scrupulous,"
7430,"religious,"
7431,"unscrupulous,"
7432,"conscientious,"
7433,"unconscientious,"
7434,"unconscionable, conscienceless,"
7435,"unopened,"
7436,"unsealed,"
7437,"opened, open,"
7438,"unsealed, uncertain,"
7439,"unwrapped,"
7440,"seaworthy,"
7441,"unseaworthy,"
7442,"airworthy,"
7443,"unairworthy,"
7444,"concealed,"
7445,"bushwhacking,"
7446,"dark,"
7447,"surreptitious, stealthy, sneaky, sneak, furtive,"
7448,"obscure, hidden,"
7449,"secret, hidden,"
7450,"incognito,"
7451,"lying in wait,"
7452,"secret,"
7453,"unavowed, sneaking,"
7454,"unconcealed,"
7455,"conspicuous, blazing, blatant,"
7456,"exhibitionistic,"
7457,"revealing,"
7458,"suggestive, significative, revelatory, indicatory, indicative,"
7459,"narrow-minded,"
7460,"unsectarian, nonsectarian,"
7461,"oecumenical, oecumenic, ecumenical, ecumenic,"
7462,"nondenominational,"
7463,"undenominational,"
7464,"untroubled, unafraid, secure,"
7465,"insecure,"
7466,"overanxious,"
7467,"unassured,"
7468,"secure,"
7469,"assured,"
7470,"fail-safe,"
7471,"sure,"
7472,"unsafe, insecure,"
7473,"shaky, precarious,"
7474,"unsecured, unguaranteed,"
7475,"secure,"
7476,"steady,"
7477,"insecure,"
7478,"unfastened,"
7479,"unsecured, unlocked, unlatched, unbolted, unbarred,"
7480,"undone,"
7481,"insured,"
7482,"insurable,"
7483,"uninsured,"
7484,"uninsurable,"
7485,"seductive,"
7486,"tempting, enticing, beguiling, alluring,"
7487,"corrupting,"
7488,"insidious,"
7489,"teasing,"
7490,"unseductive,"
7491,"untempting, uninviting,"
7492,"selfish,"
7493,"self-loving, narcissistic, egotistical, egotistic,"
7494,"self-serving, self-seeking,"
7495,"unselfish,"
7496,"public-spirited,"
7497,"self-forgetful,"
7498,"sharing,"
7499,"senior,"
7500,"sr., older, elder,"
7501,"major,"
7502,"precedential,"
7503,"superior, ranking, higher-ranking,"
7504,"junior,"
7505,"subaltern, secondary, petty, lowly, lower-ranking, junior-grade,"
7506,"minor,"
7507,"younger, jr.,"
7508,"sensational,"
7509,"shocking, lurid,"
7510,"yellow, sensationalistic, scandalmongering,"
7511,"screaming,"
7512,"unsensational,"
7513,"sensitive, sensible,"
7514,"insensible,"
7515,"anesthetic, anaesthetic,"
7516,"numb, benumbed, asleep,"
7517,"delicate,"
7518,"erogenous,"
7519,"irritable, excitable,"
7520,"highly sensitive,"
7521,"irritable,"
7522,"nociceptive,"
7523,"responsive, reactive,"
7524,"insensitive,"
7525,"deadened, dead,"
7526,"unreactive,"
7527,"sensitive,"
7528,"alive,"
7529,"touchy, thin-skinned, huffy, feisty,"
7530,"oversensitive,"
7531,"insensitive,"
7532,"pachydermatous, indurate, callous,"
7533,"numb, dead,"
7534,"dull,"
7535,"unaffected, insensible,"
7536,"soulless,"
7537,"sensitizing, sensitising,"
7538,"desensitizing, desensitising,"
7539,"numbing,"
7540,"sensory, sensorial,"
7541,"paranormal, extrasensory,"
7542,"telegnostic,"
7543,"telepathic,"
7544,"unsent,"
7545,"separate,"
7546,"apart,"
7547,"set-apart, separated, isolated, detached,"
7548,"disjoint,"
7549,"isolated, disjunct,"
7550,"isolable,"
7551,"unaccompanied,"
7552,"sanitary, healthful,"
7553,"hygienical, hygienic,"
7554,"unsanitary, unhealthful, insanitary,"
7555,"unhygienic,"
7556,"septic, infected,"
7557,"abscessed,"
7558,"pestiferous, dirty,"
7559,"contaminative,"
7560,"pussy, purulent,"
7561,"infective, infectious,"
7562,"putrefactive, putrefacient,"
7563,"septicemic,"
7564,"antiseptic,"
7565,"sterile, aseptic,"
7566,"germicidal, disinfectant, bactericidal,"
7567,"purifying, cleansing,"
7568,"nonpurulent,"
7569,"uninfected, clean,"
7570,"germfree,"
7571,"axenic,"
7572,"germy,"
7573,"unsterilized, unsterilised,"
7574,"foreign, extraneous,"
7575,"purifying,"
7576,"antiseptic,"
7577,"serious,"
7578,"solemn, sincere, earnest,"
7579,"solemn, sober, sedate, grave,"
7580,"overserious,"
7581,"real,"
7582,"thoughtful, serious-minded,"
7583,"sobering,"
7584,"frivolous,"
7585,"silly, lightheaded, light-headed, giddy, featherbrained, empty-headed, dizzy, airheaded,"
7586,"scatterbrained, head-in-the-clouds, flyaway, flighty,"
7587,"light-minded, flippant,"
7588,"light, idle,"
7589,"light,"
7590,"trivial,"
7591,"playful,"
7592,"sportive, rollicking, frolicsome, frolicky, coltish,"
7593,"roguish, rascally, devilish,"
7594,"elvish, elfish, elfin,"
7595,"wicked, puckish, prankish, pixilated, mischievous, implike, impish, arch,"
7596,"kittenish, frisky,"
7597,"teasing, quizzical, mocking,"
7598,"unplayful, sober, serious,"
7599,"selected,"
7600,"elite, elect,"
7601,"unselected,"
7602,"useable, usable, operational, operable, functional,"
7603,"unserviceable,"
7604,"broken-down,"
7605,"inoperable,"
7606,"unrepaired,"
7607,"nonresident,"
7608,"nonnomadic,"
7609,"unsettled,"
7610,"wandering, planetary, erratic,"
7611,"stateless, homeless,"
7612,"vagabond, rootless,"
7613,"unlocated,"
7614,"resident, nonmigratory,"
7615,"set, dictated, determined,"
7616,"deterministic,"
7617,"firm,"
7618,"tentative, doubtful,"
7619,"unresolved, undetermined, undecided, open,"
7620,"sexy,"
7621,"turned on, steamy, ruttish, randy, horny, aroused,"
7622,"autoerotic,"
7623,"flirtatious, coquettish,"
7624,"titillating, erotic,"
7625,"spicy, risque, racy, naughty, juicy, gamy, gamey, blue,"
7626,"hot,"
7627,"sexual, intimate,"
7628,"voluptuous, toothsome, red-hot, luscious, juicy,"
7629,"lustful, libidinous, lewd, lascivious,"
7630,"lecherous,"
7631,"leering,"
7632,"salacious, prurient, lustful, lubricious,"
7633,"orgiastic,"
7634,"oversexed, highly-sexed,"
7635,"pornographic, adult,"
7636,"provocative,"
7637,"raunchy,"
7638,"sexed,"
7639,"sex-starved,"
7640,"unsexy,"
7641,"sexless,"
7642,"sexless,"
7643,"undersexed,"
7644,"sexual,"
7645,"intersexual,"
7646,"sexed,"
7647,"nonsexual, asexual,"
7648,"parthenogenetic, apomictic, agamous, agamogenetic, agamic,"
7649,"fissiparous,"
7650,"sexless, neuter,"
7651,"vegetative, vegetal,"
7652,"unsexed, castrated,"
7653,"uncastrated,"
7654,"sexy, aphrodisiacal, aphrodisiac,"
7655,"anaphrodisiac,"
7656,"estrous,"
7657,"anestrous,"
7658,"shapely,"
7659,"clean-limbed,"
7660,"statuesque, junoesque,"
7661,"sculpturesque, sculptured, sculptural, modeled,"
7662,"well-proportioned,"
